docId,filename,top topics, and contribution to doc ...,,,,,,,,,,,,
34,129-m.txt,34,0.212,44,0.143,,,,,,,,,,
152,48-m.txt,34,0.141,52,0.106,8,0.085,46,0.06,95,0.05,,,,
203,94-m.txt,34,0.187,52,0.154,97,0.077,74,0.055,67,0.055,,,,
49,142-f.txt,33,0.356,28,0.069,,,,,,,,,,
90,18-u.txt,32,0.337,1,0.079,95,0.056,82,0.056,20,0.056,,,,
115,201-f.txt,32,0.397,38,0.051,,,,,,,,,,
160,55-m.txt,32,0.352,76,0.073,,,,,,,,,,
69,160-f.txt,31,0.159,2,0.079,95,0.063,,,,,,,,
68,16-f.txt,30,0.152,37,0.083,31,0.076,21,0.055,,,,,,
199,90-m.txt,30,0.347,8,0.114,,,,,,,,,,
21,117-m.txt,28,0.163,92,0.067,1,0.057,57,0.053,,,,,,
99,188-u.txt,28,0.166,5,0.102,59,0.089,66,0.051,26,0.051,,,,
